race;stage;rider;
tour-de-france-2019;1;Berhane Natnael;race/tour-de-france/2019
;;Van Avermaet Greg;
;;Meurisse Xandro;
;;Wurtz Schmidt Mads;
;10;Turgis Anthony;
;;Gallopin Tony;
;;Eiking Odd Christian;
;;Schar Michael;
;;Wurtz Schmidt Mads;
;;Berhane Natnael;
;11;Calmejane Lilian;
;;De Gendt Aime;
;;Rossetto Stephane;
;;Perez Anthony;
;12;Sagan Peter;
;;Matthews Michael;
;;Colbrelli Sonny;
;;Teuns Dylan;
;;Schachmann Maximilian;
;;Muhlberger Gregor;
;;Yates Simon;
;;Bilbao Pello;
;;Clarke Simon;
;;Calmejane Lilian;
;;Frank Mathias;
;;Roche Nicolas;
;;Benoot Tiesj;
;;Wellens Tim;
;;Kristoff Alexander;
;;Oss Daniel;
;;Trentin Matteo;
;;Morkov Michael;
;;Gallopin Tony;
;;Garcia Cortina Ivan;
;;Naesen Oliver;
;;Erviti Imanol;
;;Groenewegen Dylan;
;;Teunissen Mike;
;;Bettiol Alberto;
;;Van Avermaet Greg;
;;Pauwels Serge;
;;Bol Cees;
;;Stuyven Jasper;
;;Costa Rui;
;;Scully Tom;
;;Ledanois Kevin;
;;Valgren Michael;
;;Boasson Hagen Edvald;
;;Pasqualon Andrea;
;;Kluge Roger;
;;Simon Julien;
;;Perichon Pierre-Luc;
;;Arndt Nikias;
;;Felline Fabio;
;14;Wellens Tim;
;;Sagan Peter;
;;Nibali Vincenzo;
;;Mohoric Matej;
;;Haller Marco;
;;Henao Sergio;
;;Sanchez Luis Leon;
;;Zakarin Ilnur;
;;Verona Carlos;
;;Vuillermoz Alexis;
;;Ladagnous Matthieu;
;;Kamna Lennard;
;;Gesbert Elie;
;;Martin Guillaume;
;;Calmejane Lilian;
;;Sicard Romain;
;;Taaramae Rein;
;15;Yates Simon;
;;Geschke Simon;
;;Nibali Vincenzo;
;;Quintana Nairo;
;;Fraile Omar;
;;Lutsenko Alexey;
;;Bilbao Pello;
;;Bardet Romain;
;;Mollema Bauke;
;;Ciccone Giulio;
;;Martin Dan;
;;Zakarin Ilnur;
;;Woods Michael;
;;Herrada Jesus;
;;Konrad Patrick;
;;Matthews Michael;
;;Gallopin Tony;
;;Roche Nicolas;
;;Tratnik Jan;
;;Reichenbach Sebastien;
;;Kamna Lennard;
;;Kreuziger Roman;
;;Caruso Damiano;
;;Frank Mathias;
;;Moinard Amael;
;;Ladagnous Matthieu;
;;Soler Marc;
;;Sicard Romain;
;;Politt Nils;
;;Perichon Pierre-Luc;
;;Bernard Julien;
;;Amador Andrey;
;;Perez Anthony;
;;Molard Rudy;
;;Jansen Amund Grondahl;
;;Martin Guillaume;
;16;Gougeard Alexis;
;;Rossetto Stephane;
;;Wisniowski Lukasz;
;;Ourselin Paul;
;;Bak Lars Ytting;
;17;Bystrom Sven Erik;
;;Costa Rui;
;;Henao Sergio;
;;Laengen Vegard Stake;
;;Mollema Bauke;
;;Skujins Toms;
;;Stuyven Jasper;
;;Roche Nicolas;
;;Berhane Natnael;
;;Herrada Jesus;
;;Perez Anthony;
;;Perichon Pierre-Luc;
;;De Gendt Thomas;
;;Keukeleire Jens;
;;Politt Nils;
;;Oss Daniel;
;;Postlberger Lukas;
;;Asgreen Kasper;
;;Gougeard Alexis;
;;Teuns Dylan;
;;Oliveira Nelson;
;;Fraile Omar;
;;Izagirre Gorka;
;;Cort Magnus;
;;Clarke Simon;
;;Scully Tom;
;;Trentin Matteo;
;;Juul-Jensen Christopher;
;;Van Avermaet Greg;
;;Schar Michael;
;;Meurisse Xandro;
;;Pasqualon Andrea;
;;Boasson Hagen Edvald;
;;King Ben;
;18;Quintana Nairo;
;;Bardet Romain;
;;Wellens Tim;
;;Van Avermaet Greg;
;;Kamna Lennard;
;;Yates Adam;
;;Caruso Damiano;
;;Lutsenko Alexey;
;;Woods Michael;
;;Henao Sergio;
;;Cherel Mikael;
;;Soler Marc;
;;Frank Mathias;
;;Naesen Oliver;
;;Perichon Pierre-Luc;
;;Van Baarle Dylan;
;;Politt Nils;
;;Benoot Tiesj;
;;Bettiol Alberto;
;;Amador Andrey;
;;Pauwels Serge;
;;Impey Daryl;
;;Moinard Amael;
;;Teunissen Mike;
;;Ourselin Paul;
;;Arndt Nikias;
;;Juul-Jensen Christopher;
;;De Buyst Jasper;
;;Verona Carlos;
;;Ladagnous Matthieu;
;;Jansen Amund Grondahl;
;;Richeze Maximiliano;
;;Geschke Simon;
;;Bernard Julien;
;;Izagirre Gorka;
;19;Uran Rigoberto;
;;Valverde Alejandro;
;;Barguil Warren;
;;Martin Guillaume;
;;Aru Fabio;
;;Martin Dan;
;;Reichenbach Sebastien;
;;Lutsenko Alexey;
;;Mollema Bauke;
;;Herrada Jesus;
;;Yates Adam;
;;Mas Enric;
;;De Plus Laurens;
;;Konrad Patrick;
;;Woods Michael;
;;Soler Marc;
;;Izagirre Gorka;
;;Van Baarle Dylan;
;;Nibali Vincenzo;
;;Bilbao Pello;
;;Matthews Michael;
;;Bettiol Alberto;
;;Gallopin Tony;
;;Caruso Damiano;
;;Amador Andrey;
;;Gesbert Elie;
;;Wellens Tim;
;20;Nibali Vincenzo;
;;Cummings Steve;
;;Teuns Dylan;
;;Impey Daryl;
;;Calmejane Lilian;
;;Costa Rui;
;;Fraile Omar;
;;Zakarin Ilnur;
;;Viviani Elia;
;;Cort Magnus;
;;Gallopin Tony;
;;Bouet Maxime;
;;Izagirre Gorka;
;;Roche Nicolas;
;;Keukeleire Jens;
;;Oliveira Nelson;
;;Stuyven Jasper;
;;Bonifazio Niccolo;
;;Reichenbach Sebastien;
;;Bettiol Alberto;
;;Woods Michael;
;;Politt Nils;
;;Rosskopf Joey;
;;Perichon Pierre-Luc;
;;Laengen Vegard Stake;
;;King Ben;
;;Backaert Frederik;
;;Turgis Anthony;
;;Van Melsen Kevin;
;21;Scully Tom;
;;Fraile Omar;
;;Tratnik Jan;
;;Politt Nils;
;3;Ourselin Paul;
;;Delaplace Anthony;
;;Rossetto Stephane;
;;Wellens Tim;
;;Offredo Yoann;
;4;Offredo Yoann;
;;Backaert Frederik;
;;Schar Michael;
;5;Clarke Simon;
;;Skujins Toms;
;;Wellens Tim;
;;Wurtz Schmidt Mads;
;6;Teuns Dylan;
;;Ciccone Giulio;
;;Meurisse Xandro;
;;De Gendt Thomas;
;;Cosnefroy Benoit;
;;Pauwels Serge;
;;Bernard Julien;
;;Grellier Fabien;
;;Berhane Natnael;
;;Arndt Nikias;
;;Politt Nils;
;;Pasqualon Andrea;
;;Greipel Andre;
;;Wellens Tim;
;7;Offredo Yoann;
;;Rossetto Stephane;
;8;De Gendt Thomas;
;;De Marchi Alessandro;
;;King Ben;
;;Terpstra Niki;
;9;Impey Daryl;
;;Benoot Tiesj;
;;Postlberger Lukas;
;;Naesen Oliver;
;;Tratnik Jan;
;;Garcia Cortina Ivan;
;;Clarke Simon;
;;Stuyven Jasper;
;;Herrada Jesus;
;;Soler Marc;
;;Delaplace Anthony;
;;Boasson Hagen Edvald;
;;Sicard Romain;
;;Roche Nicolas;
;;Martin Tony;
criterium-du-dauphine-2019;1;Naesen Oliver;race/dauphine/2019
;;Doubey Fabien;
;;Cort Magnus;
;;Eg Niklas;
;;Pedersen Casper;
;;Vermote Julien;
;2;Kwiatkowski Michal;
;;Haig Jack;
;;Cosnefroy Benoit;
;;Alaphilippe Julian;
;;Cavagna Remi;
;;Buchmann Emanuel;
;;Muhlberger Gregor;
;;Izagirre Gorka;
;;Fernandez Ruben;
;;Gaudu David;
;;Kuss Sepp;
;;De Marchi Alessandro;
;;Dumoulin Tom;
;;Hagen Carl Fredrik;
;3;Berhane Natnael;
;;Pacher Quentin;
;5;De Marchi Alessandro;
;;Bagot Yoann;
;;Rossetto Stephane;
;6;Alaphilippe Julian;
;;Muhlberger Gregor;
;;De Marchi Alessandro;
;7;Lutsenko Alexey;
;;Woods Michael;
;;Gilbert Philippe;
;;Rosskopf Joey;
;;Cherel Mikael;
;;Howson Damien;
;;Cort Magnus;
;;Alaphilippe Julian;
;;Fernandez Ruben;
;;Moscon Gianni;
;;Haig Jack;
;;Hofstede Lennard;
;;Van Baarle Dylan;
;;Power Robert;
;;Pacher Quentin;
;;Padun Mark;
;;Eg Niklas;
;;Hansen Jesper;
;;Mertz Remy;
;;Gro?Schartner Felix;
;;Ledanois Kevin;
;;Theuns Edward;
;8;Van Baarle Dylan;
;;Alaphilippe Julian;
;;Gro?Schartner Felix;
;;Kuss Sepp;
;;Bernard Julien;
;;De Marchi Alessandro;
;;Pernsteiner Hermann;
;;Hagen Carl Fredrik;
;;Barguil Warren;
;;Verona Carlos;
;;Reichenbach Sebastien;
;;Bernard Julien;
;;Haig Jack;
;;Politt Nils;
tour-de-suisse-2019;2;Mannion Gavin;race/tour-de-suisse/2019
;;Imhof Claudio;
;;Grellier Fabien;
;;Van Keirsbulck Guillaume;
;3;Smit Willie;
;;Lindeman Bert-Jan;
;;Anderson Ryan;
;;Pellaud Simon;
;4;Carpenter Robin;
;;Geschke Simon;
;;Friesecke Gian;
;;Van Der Hoorn Taco;
;5;Lindeman Bert-Jan;
;;Kung Stefan;
;;Mohoric Matej;
;;Grellier Fabien;
;6;Friesecke Gian;
;;Imhof Claudio;
;;Pellaud Simon;
;;Costa Rui;
;;Kristoff Alexander;
;;Lindeman Bert-Jan;
;;Tolhoek Antwan;
;;Stannard Robert;
;;Trentin Matteo;
;;Dewulf Stan;
;;Van Der Sande Tosh;
;;Oss Daniel;
;;Paret-Peintre Aurelien;
;;Bidard Francois;
;;Arndt Nikias;
;;Mas Lluis;
;;Geniets Kevin;
;;Mohoric Matej;
;;Stuyven Jasper;
;;Scully Tom;
;;Bevin Patrick;
;;Haas Nathan;
;;King Ben;
;;Ligthart Pim;
;;Joyce Colin;
;7;Anacona Winner;
;;Bouwman Koen;
;;Mader Gino;
;;Grmay Tsgabu;
;;Frank Mathias;
;;Albasini Michael;
;;Morabito Steve;
;9;Carthy Hugh;
;;Soler Marc;
;;Aru Fabio;
;;Kamna Lennard;
;;Frank Mathias;
;;Spilak Simon;
tour-of-the-basque-country-2019;2;Bernard Julien;race/itzulia-basque-country/2019
;;Atapuma Darwin;
;;Bravo Garikoitz;
;;Amezqueta Julien;
;3;King Ben;
;;Skujins Toms;
;;Bernard Julien;
;;Bravo Garikoitz;
;;Sessler Nicolas;
;;Fernandes Jose;
;;Rojas Jose Joaquin;
;;Armirail Bruno;
;4;Verona Carlos;
;;Williams Stephen;
;;Monfort Maxime;
;;Grmay Tsgabu;
;;Iturria Mikel;
;;Storer Michael;
;;De Marchi Alessandro;
;5;Fernandez Ruben;
;;Cherel Mikael;
;;De Marchi Alessandro;
;;Molard Rudy;
volta-ciclista-a-catalunya-2019;1;De Gendt Thomas;race/volta-a-catalunya/2019
;;Mate Luis Angel;
;;Gougeard Alexis;
;;Madrazo Angel;
;;Cuadros Alvaro;
;;Duijn Huub;
;2;Wilsly Jonas;
;;Cerny Josef;
;;Minnaard Marco;
;3;Cuadros Alvaro;
;;Cabedo Oscar;
;;Weening Pieter;
;;Samitier Sergio;
;;De Clercq Bart;
;;Kamna Lennard;
;;Devenyns Dries;
;;Lammertink Maurits;
;;Lindeman Bert-Jan;
;;Bidard Francois;
;;Delaplace Anthony;
;4;Knox James;
;;Nibali Antonio;
;;Caruso Damiano;
;;Villella Davide;
;;Bevin Patrick;
;;Storer Michael;
;;Matthews Michael;
;;Gallopin Tony;
;;Ciccone Giulio;
;;Eg Niklas;
;;Verona Carlos;
;;Soler Marc;
;;Carthy Hugh;
;;Dombrowski Joe;
;;Muhlberger Gregor;
;;Schachmann Maximilian;
;;Navarro Daniel;
;;Grmay Tsgabu;
